bee1_id,bee2_id,entrance_frame,exit_frame,duration_frames,winner,loser,dist_from_center_A,dist_from_center_B,reason
ArUcoTag#5,ArUcoTag#7,58,238,181,ArUcoTag#7,ArUcoTag#5,94.44324103084453,9.46457922331072,distance_exit
ArUcoTag#5,ArUcoTag#7,775,2275,1501,canceled,canceled,72.80526272207769,27.63067917437963,max_duration_exceeded
ArUcoTag#3,ArUcoTag#9,3031,3998,968,ArUcoTag#3,ArUcoTag#9,21.461203251946273,107.98615237517457,distance_exit
ArUcoTag#5,ArUcoTag#7,4665,4686,22,ArUcoTag#5,ArUcoTag#7,16.276954761578192,92.37981015085006,distance_exit
ArUcoTag#5,ArUcoTag#7,8306,8604,299,ArUcoTag#5,ArUcoTag#7,15.908575536700017,100.80011120602946,distance_exit
ArUcoTag#5,ArUcoTag#7,9631,9659,29,ArUcoTag#5,ArUcoTag#7,22.751020063473586,95.81488141283971,distance_exit
ArUcoTag#3,ArUcoTag#9,10360,10394,35,ArUcoTag#3,ArUcoTag#9,35.94255263593363,92.35783034497096,distance_exit
ArUcoTag#5,ArUcoTag#7,10881,10946,66,ArUcoTag#7,ArUcoTag#5,108.75029012060392,23.230535762053915,distance_exit
ArUcoTag#5,ArUcoTag#7,11110,11749,640,ArUcoTag#5,ArUcoTag#7,24.72791740304609,92.34309818775324,distance_exit
ArUcoTag#5,ArUcoTag#7,12438,12609,172,ArUcoTag#5,ArUcoTag#7,18.094747674628824,97.96706127173218,distance_exit
ArUcoTag#5,ArUcoTag#7,12934,12968,35,ArUcoTag#5,ArUcoTag#7,25.423447516319783,92.60595570464608,distance_exit
ArUcoTag#3,ArUcoTag#9,14519,14640,122,ArUcoTag#9,ArUcoTag#3,96.99246363228086,50.233872736773804,distance_exit
ArUcoTag#3,ArUcoTag#9,15230,15420,191,ArUcoTag#9,ArUcoTag#3,93.42040544394234,51.90960345068367,distance_exit
ArUcoTag#3,ArUcoTag#9,15596,15890,295,ArUcoTag#9,ArUcoTag#3,101.45929373249332,21.136461240690952,distance_exit
ArUcoTag#5,ArUcoTag#7,15711,16892,1182,ArUcoTag#5,ArUcoTag#7,85.85123683653879,99.26656325490569,distance_exit
ArUcoTag#5,ArUcoTag#7,18257,18344,88,ArUcoTag#5,ArUcoTag#7,25.571647309859877,94.5139025276664,distance_exit
ArUcoTag#5,ArUcoTag#7,18896,18924,29,ArUcoTag#5,ArUcoTag#7,15.423348346945486,96.03273211574708,distance_exit
ArUcoTag#3,ArUcoTag#9,18788,19026,239,ArUcoTag#9,ArUcoTag#3,92.30495842732911,13.302187277875262,distance_exit
ArUcoTag#5,ArUcoTag#7,18952,19842,891,ArUcoTag#5,ArUcoTag#7,23.48226868091211,91.75492162856543,distance_exit
ArUcoTag#5,ArUcoTag#7,19979,20649,671,ArUcoTag#5,ArUcoTag#7,7.701137318710173,93.14348306661279,distance_exit
ArUcoTag#3,ArUcoTag#9,20627,21713,1087,ArUcoTag#9,ArUcoTag#3,93.17137601076963,8.003968543593798,distance_exit
ArUcoTag#3,ArUcoTag#9,21880,21942,63,ArUcoTag#9,ArUcoTag#3,95.75976908321368,3.68234850143213,distance_exit
ArUcoTag#3,ArUcoTag#9,22795,23220,426,ArUcoTag#9,ArUcoTag#3,94.20207771194795,39.44837503105505,distance_exit
ArUcoTag#3,ArUcoTag#9,23738,23850,113,ArUcoTag#9,ArUcoTag#3,92.99983157649544,31.21982663867149,distance_exit
ArUcoTag#3,ArUcoTag#9,25022,25398,377,ArUcoTag#9,ArUcoTag#3,92.69147371547288,21.97050203682914,distance_exit
ArUcoTag#3,ArUcoTag#9,27402,27492,91,ArUcoTag#9,ArUcoTag#3,95.66904127406939,35.17368835820151,distance_exit
ArUcoTag#5,ArUcoTag#7,29595,29716,122,ArUcoTag#7,ArUcoTag#5,95.39983453670786,26.447631559975466,distance_exit
ArUcoTag#3,ArUcoTag#9,30100,30262,163,ArUcoTag#9,ArUcoTag#3,95.4739695839912,4.4803484701164,distance_exit
ArUcoTag#3,ArUcoTag#9,31245,31357,113,ArUcoTag#9,ArUcoTag#3,94.05463498595644,33.844232788413954,distance_exit
ArUcoTag#3,ArUcoTag#9,33326,33522,197,ArUcoTag#9,ArUcoTag#3,93.94309461203534,15.81244139178063,distance_exit
ArUcoTag#5,ArUcoTag#7,33512,33695,184,ArUcoTag#7,ArUcoTag#5,94.97412290378136,20.016761595294888,distance_exit
ArUcoTag#5,ArUcoTag#7,34803,34849,47,ArUcoTag#5,ArUcoTag#7,32.25339998649175,92.43933600983777,distance_exit
ArUcoTag#5,ArUcoTag#7,36099,37411,1313,ArUcoTag#5,ArUcoTag#7,37.09477896853567,127.0226708430874,distance_exit
ArUcoTag#5,ArUcoTag#7,37765,37926,162,ArUcoTag#5,ArUcoTag#7,58.49142545082325,91.6937530880217,distance_exit
ArUcoTag#3,ArUcoTag#9,38758,38978,221,ArUcoTag#9,ArUcoTag#3,93.38473941032125,26.271558730749987,distance_exit
ArUcoTag#3,ArUcoTag#9,40178,40228,51,ArUcoTag#9,ArUcoTag#3,94.20287143306189,16.55959772117953,distance_exit
ArUcoTag#3,ArUcoTag#9,40858,40892,35,ArUcoTag#3,ArUcoTag#9,37.14687722336637,98.75842789581885,distance_exit
ArUcoTag#3,ArUcoTag#9,40920,41075,156,ArUcoTag#9,ArUcoTag#3,93.54973552562946,76.16534119873543,distance_exit
ArUcoTag#3,ArUcoTag#9,41298,41397,100,ArUcoTag#9,ArUcoTag#3,92.25715517310948,35.967132127056075,distance_exit
ArUcoTag#3,ArUcoTag#9,42297,42458,162,ArUcoTag#9,ArUcoTag#3,95.52326763579624,55.33150003635874,distance_exit
ArUcoTag#3,ArUcoTag#9,43398,43789,392,ArUcoTag#9,ArUcoTag#3,98.72010229778522,89.57582048291688,distance_exit
ArUcoTag#3,ArUcoTag#9,43829,43854,26,ArUcoTag#9,ArUcoTag#3,94.84201762379107,20.995630707697114,distance_exit
ArUcoTag#3,ArUcoTag#9,46072,46674,603,ArUcoTag#9,ArUcoTag#3,91.371796706808,57.2711909073729,distance_exit
ArUcoTag#5,ArUcoTag#7,48591,48609,19,ArUcoTag#7,ArUcoTag#5,91.60646836667809,24.555019896195184,distance_exit
ArUcoTag#3,ArUcoTag#9,48848,48972,125,ArUcoTag#9,ArUcoTag#3,93.68589785054435,35.079906092255975,distance_exit
ArUcoTag#3,ArUcoTag#9,50967,51643,677,ArUcoTag#9,ArUcoTag#3,93.41974156650997,9.789471880138985,distance_exit
ArUcoTag#5,ArUcoTag#7,53247,53275,29,ArUcoTag#5,ArUcoTag#7,21.254923838445578,92.32539826146984,distance_exit
ArUcoTag#3,ArUcoTag#9,51838,53338,1501,canceled,canceled,22.12417417714627,35.328102759400295,max_duration_exceeded
ArUcoTag#5,ArUcoTag#7,54351,54385,35,ArUcoTag#5,ArUcoTag#7,26.77859462776528,95.26524823294203,distance_exit
ArUcoTag#3,ArUcoTag#9,53445,54522,1078,ArUcoTag#3,ArUcoTag#9,29.650706460799945,117.13031225935332,distance_exit
ArUcoTag#3,ArUcoTag#9,55396,55914,519,ArUcoTag#3,ArUcoTag#9,23.810068738225404,93.79316852483895,distance_exit
ArUcoTag#5,ArUcoTag#7,55989,56007,19,ArUcoTag#5,ArUcoTag#7,25.433182368233286,106.8191481742441,distance_exit
ArUcoTag#5,ArUcoTag#7,56252,56491,240,ArUcoTag#5,ArUcoTag#7,29.12099574710761,91.59696102222316,distance_exit
ArUcoTag#3,ArUcoTag#9,60111,60502,392,ArUcoTag#9,ArUcoTag#3,92.74868291693599,53.16212002679557,distance_exit
ArUcoTag#3,ArUcoTag#9,61935,62047,113,ArUcoTag#9,ArUcoTag#3,94.3412089278938,23.028645688527117,distance_exit
ArUcoTag#3,ArUcoTag#9,64522,64749,228,ArUcoTag#9,ArUcoTag#3,92.56767042062664,11.411744155328792,distance_exit
ArUcoTag#3,ArUcoTag#9,64987,65310,324,ArUcoTag#9,ArUcoTag#3,93.44446455876324,21.5433378581007,distance_exit
