winner,loser,entrance_frame,exit_frame,duration_frames
7,5,60,270,210
7,5,2970,3060,90
7,5,6000,6210,210
5,7,7620,8160,540
5,7,8310,8610,300
7,5,10890,10950,60
5,7,11100,11730,630
5,7,11850,12030,180
3,9,13860,14040,180
3,9,14520,14700,180
3,9,15240,15480,240
5,7,12120,16860,4740
5,7,18870,18900,30
5,7,18930,19830,900
5,7,19980,20700,720
9,3,21930,21990,60
5,7,26550,27540,990
7,5,29580,29730,150
9,3,30120,30270,150
9,3,30840,30960,120
9,3,31290,31320,30
5,7,31890,32190,300
5,7,32700,32730,30
9,3,33330,33510,180
7,5,33480,33690,210
5,7,34770,34830,60
7,5,36090,37560,1470
7,5,37770,37800,30
9,3,40140,40230,90
9,3,40860,41070,210
9,3,40500,42480,1980
9,3,46500,46680,180
7,5,48570,48600,30
5,7,54360,54360,0
3,9,58710,58980,270
9,3,60090,60510,420
9,3,64530,64770,240
7,5,68610,68610,0
9,3,74580,74610,30
9,3,85140,85560,420
3,9,86580,86580,0
7,5,86730,86730,0
9,3,91890,91890,0
9,3,94950,95220,270
9,3,95910,96420,510
9,3,97410,97410,0
9,3,107580,107700,120
