winner/loser	start	end
7>5	0:02	0:09
--	0:26	--
7>5	1:39	1:42
7>5	3:20	3:27
5>7	4:14	4:32
5>7	4:37	4:47
7>5	6:03	6:05
5>7	6:10	6:31
5>7	6:35	6:41
3>9	7:42	7:48
3>9	8:04	8:10
3>9	8:28	8:36
5>7	8:44	9:22
5>7	10:29	10:30
5>7	10:31	11:01
5>7	11:06	11:30
9>3	12:11	12:13
5>7	14:45	15:18
7>5	16:26	16:31
9>3	16:44	16:49
9>3	17:08	17:12
9>3	17:23	17:24
5>7	17:43	17:53
5>7	18:10	18:11
9>3	18:31	18:37
7>5	18:36	18:43
5>7	19:19	19:21
7>5	20:03	20:52
7>5	20:59	21:00
9>3	22:18	22:21
9>3	22:42	22:49
9>3	22:30	23:36
9>3	25:50	25:56
7>5	26:59	27:00
7>5	30:12	30:12
3>9	32:37	32:46
9>3	33:23	33:37
9>3	35:51	35:59
7>3	38:07	38:07
9>3	41:26	41:27
9>3	47:18	47:32
3>9	48:06	48:06
7>5	48:11	48:11
9>3	51:03	51:03
9>3	52:45	52:54
9>3	53:17	53:34
9>3	54:07	54:07
9?3	59:46	59:50


1:00:00


